01|7|1|0|0|-<i>Неділя 23-тя по Зісланні Святого Духа.</i><br>Св. прор. Наума|<i>Утр.:</i><br>Єв. – Мт. 116 зач.; 28, 16-20.<br><i>Літ.:</i><br>Ап. – Еф. 220 зач.; 2, 4-10.<br>Єв. – Лк. 38 зач.; 8, 26-39.|Глас 6. Єв. 1.
02|1|0|0|0| <em>Тиждень 24-ий по Зісланні Святого Духа.</em><br>Св. прор. Аввакума<br>Блаж. сщмч. Івана Слезюка, єп.|Ап. – 1 Сол. 267 зач.; 2, 20 – 3, 8.<br>Єв. – Лк. 59 зач.; 11, 29-33.|Глас 6
03|2|0|0|0| Св. прор. Софонії|Ап. – 1 Сол. 268 зач.; 3, 9-13.<br>Єв. – Лк. 60 зач.; 11, 34-41.|Глас 6
04|3|0|0|0|&&Св. вмц. Варвари<br>Прп. Івана Дамаскина|Ап. – 1 Сол. 269 зач.; 4, 1-12.<br>Єв. – Лк. 61 зач.; 11, 42-46.|Глас 6
05|4|0|0|0|+<span>+Прп. й богоносного Сави Освященного</span>|<i>Утр:</i><br>Єв. – Лк. 24 зач.; 6, 17-23.<br><i>Літ.:</i><br><i>Ряд.:</i><br>Ап. – 1 Сол. 271 зач.; 5, 1-8.<br>Єв. – Лк. 62 зач.; 11, 47 – 12, 1.<br><i>Прп.:</i><br>Ап. – Євр. 335 зач.; 13, 17-21.<br>Єв. – Мт. 43 зач.; 11, 27-30.|Глас 6
06|5|1|1|1|*<span>*Св. Миколая, аєп. Мир Ликійських, чудотв.</span>|<i>Утр.:</i><br>Єв. – Йо. 36 зач.; 10, 9-16.<br><i>Літ.:</i><br><i>Св.:</i><br>Ап. – Євр. 335 зач.; 13, 17-21.<br>Єв. – Лк. 24 зач.; 6, 17-22.|Глас 6
07|6|0|0|0| Св. Амвросія, єп. Медіоланського|Ап. – 2 Кор. 191 зач.; 11, 1-6.<br>Єв. – Лк. 40 зач.; 9, 1-6.|Глас 6
08|7|1|0|0| <i>Неділя 24-та по Зісланні Святого Духа.</i><br>Прп. Патапія|<i>Утр.:</i><br>Єв. – Мр. 70 зач.; 16, 1-8.<br><i>Літ.:</i><br>Ап. – Еф. 221 зач.; 2, 14-22.<br>Єв. – Лк. 39 зач.; 8, 41-56.|Глас 7. Єв. 2.
09|1|3|0|0|*<em>Тиждень 25-ий по Зісланні Святого Духа.</em><br><span>*Непорочне Зачаття Пресв. Богородиці св. Анною</span>|<i>Утр.:</i><br>Єв. – Лк. 4 зач.; 1, 39-49; 56.<br><i>Літ.:</i><br>Ап. – Гал. 210 зач.; 4, 22-31.<br>Єв. – Лк. 36 зач.; 8, 16-21.|Глас 7
10|2|0|0|0| Свв. мчч. Мини, Єрмогена і Євграфа|Ап. – 2 Сол. 274 зач.; 1, 10 – 2, 2.<br>Єв. – Лк. 68 зач.; 12, 42-48.|Глас 7
11|3|0|0|0| Прп. Даниїла Стовпника|Ап. – 2 Сол. 275 зач.; 2, 1-12.<br>Єв. – Лк. 69 зач.; 12, 48-59.|Глас 7
12|4|0|0|0|&&Прп. Спиридона, чудотв., єп. Трімитійського|Ап. – 2 Сол. 276 зач.; 2, 13 – 3, 5.<br>Єв. – Лк. 70 зач.; 13, 1-9.|Глас 7
