Лютий,01.02,4,чт,🕃 Передсвяття Стрітення Господа Бога і Спаса нашого Ісуса Христа Св. мч. Трифона,,,#ap074,,#mr066,
Лютий,02.02,5,пт,🕀 Стрітення Господа Бога і Спаса нашого Ісуса Христа</b>,,,#ap316,,#lk007,
Лютий,03.02,6,сб,"Субота заупокійна. 🕃 Св. і прав. Симеона Богоприємця і Анни, пророчиці",Ряд.:,За упокій:,#ap146,#ap270,#lk105,#iv016
Лютий,04.02,7,нд,"Неділя м’ясопусна, про Страшний суд. Прп. Ісидора Пилусіотського",,,#ap140,,#mt106,
Лютий,05.02,1,пн,Тиждень сиропусний. Св. мц. Агафії,,,#ap076,,#lk096,
Лютий,06.02,2,вв,"Прп. Вукола, єп. Смирнського Св. сщмч. Сілвана, єп. Ємеського, і тих, що з ним",,,#ap077,,#lk109,
Лютий,07.02,3,ср,"Прп. Партенія, єп. Лампсакійського Блаж. сщмч. Петра Вергуна, пресвіт.",,,,,,
Лютий,08.02,4,чт,🕃 Св. вмч. Теодора Стратилата Св. прор. Захарії Серповидця,,,"Юда 78 зач.; 1, 11-25.",,#lk110,
Лютий,09.02,5,пт,Св. мч. Никифора Віддання Стрітення</i>,,,,,,
Лютий,10.02,6,сб,"Субота сиропусна. Всіх преподобних отців, що в подвизі просіяли. Св. мч. Харалампія",Ряд.:,Отцям:,#ap115,#ap213,#mt016,#mt043
Лютий,11.02,7,нд,"Неділя сиропусна, прощення. Св. сщмч. Власія, єп. Севастійського",,,#ap112,,#mt017,
Лютий,12.02,1,пн,"Початок св. Великого посту. Св. Мелетія, аєп. Антіохійського",,,,,,
Лютий,13.02,2,вв,Прп. Мартиніана Свв. жінок Зої і Фотини (Світлани),,,,,,
Лютий,14.02,3,ср,"🕂 Переставл. прп. Константина, філософа, у монахах Кирила, учителя слов’янського Прп. Авксентія Прп. Марона, пустинника, чудотв.",,,,,,
Лютий,15.02,4,чт,Св. ап. Онисима,,,,,,
Лютий,16.02,5,пт,"Свв. мчч. Памфила, єрея, Порфирія і тих, що з ними",,,,,,
Лютий,17.02,6,сб,🕃 Св. вмч. Теодора Тирона,Ряд.:,Влкмч.:,#ap303,#ap292,#mr010,#iv052
Лютий,18.02,7,нд,"Неділя 1-ша Великого посту, Православ’я. Св. Лева, папи Римського",,,#ap329b,,#iv005,
Лютий,19.02,1,пн,Тиждень 2-ий Великого посту. Св. ап. Архипа,,,,,,
Лютий,20.02,2,вв,"Прп. Лева, єп. Катанського",,,,,,
Лютий,21.02,3,ср,"Прп. Тимотея, що в Символах Св. Євстатія, аєп. Великої Антіохії",,,,,,
Лютий,22.02,4,чт,"Віднайдення чесних мощів свв. мчч., що в Євгенії",,,,,,
Лютий,23.02,5,пт,"Св. сщмч. Полікарпа, єп. Смирнського",,,,,,
Лютий,24.02,6,сб,"Субота заупокійна. 🕂 Перше і друге знайдення чесної голови св. славн. прор., предтечі і хрестителя Господнього Івана",Ряд.:,Предтечі:,#ap309,#ap176,#mr006,#mt040
Лютий,25.02,7,нд,"Неділя 2-га Великого посту.Гл. 6. Єв. 6. Св. Тарасія, аєп. Царгородського",,,#ap304,,#mr007,
Лютий,26.02,1,пн,"Тиждень 3-ій Великого посту.</em>Св. Порфирія, єп. Газького Блаж. Едігни</b>",,,,,,
Лютий,27.02,2,вв,Прп. й ісп. Прокопія Декаполіта,,,,,,
Лютий,28.02,3,ср,"Прп. й ісп. Василія, співпосника Прокопового",,,,,,
Лютий,29.02,4,чт,Прп. Касіана,,,,,,
