2024.01.01,pentecost,31,,1
2024.01.02,pentecost,31,,2
2024.01.03,pentecost,31,,3
2024.01.04,pentecost,31,,4
2024.01.05,pentecost,31,,5
2024.01.06,pentecost,31,,6
2024.01.07,pentecost,31,,7
2024.01.08,pentecost,32,,1
2024.01.09,pentecost,32,,2
2024.01.10,pentecost,32,,3
2024.01.11,pentecost,32,,4
2024.01.12,pentecost,32,,5
2024.01.13,pentecost,32,,6
2024.01.14,pentecost,32,,7
2024.01.15,pentecost,33,,1
2024.01.16,pentecost,33,,2
2024.01.17,pentecost,33,,3
2024.01.18,pentecost,33,,4
2024.01.19,pentecost,33,,5
2024.01.20,pentecost,33,,6
2024.01.21,pentecost,33,,7
2024.01.22,pentecost,34,,1
2024.01.23,pentecost,34,,2
2024.01.24,pentecost,34,,3
2024.01.25,pentecost,34,,4
2024.01.26,pentecost,34,,5
2024.01.27,pentecost,34,,6
2024.01.28,pentecost,34,,7
2024.01.29,pentecost,35,,1
2024.01.30,pentecost,35,,2
2024.01.31,pentecost,35,,3
2024.02.01,pentecost,35,,4
2024.02.02,pentecost,35,,5
2024.02.03,pentecost,35,,6
2024.02.04,pentecost,35,,7
2024.02.05,pentecost,36,,1
2024.02.06,pentecost,36,,2
2024.02.07,pentecost,36,,3
2024.02.08,pentecost,36,,4
2024.02.09,pentecost,36,,5
2024.02.10,pentecost,36,,6
2024.02.11,pentecost,36,,7
2024.02.12,pentecost,37,5,1
2024.02.13,pentecost,37,5,2
2024.02.14,pentecost,37,5,3
2024.02.15,pentecost,37,5,4
2024.02.16,pentecost,37,5,5
2024.02.17,pentecost,37,5,6
2024.02.18,pentecost,37,5,7
2024.02.19,pentecost,38,4,1
2024.02.20,pentecost,38,4,2
2024.02.21,pentecost,38,4,3
2024.02.22,pentecost,38,4,4
2024.02.23,pentecost,38,4,5
2024.02.24,pentecost,38,4,6
2024.02.25,pentecost,38,4,7
2024.02.26,pentecost,39,3,1
2024.02.27,pentecost,39,3,2
2024.02.28,pentecost,39,3,3
2024.02.29,pentecost,39,3,4
2024.03.01,pentecost,39,3,5
2024.03.02,pentecost,39,3,6
2024.03.03,pentecost,39,3,7
2024.03.04,pentecost,40,2,1
2024.03.05,pentecost,40,2,2
2024.03.06,pentecost,40,2,3
2024.03.07,pentecost,40,2,4
2024.03.08,pentecost,40,2,5
2024.03.09,pentecost,40,2,6
2024.03.10,pentecost,40,2,7
2024.03.11,pentecost,41,1,1
2024.03.12,pentecost,41,1,2
2024.03.13,pentecost,41,1,3
2024.03.14,pentecost,41,1,4
2024.03.15,pentecost,41,1,5
2024.03.16,pentecost,41,1,6
2024.03.17,pentecost,41,1,7
2024.03.18,lent,1,,1
2024.03.19,lent,1,,2
2024.03.20,lent,1,,3
2024.03.21,lent,1,,4
2024.03.22,lent,1,,5
2024.03.23,lent,1,,6
2024.03.24,lent,1,,7
2024.03.25,lent,2,,1
2024.03.26,lent,2,,2
2024.03.27,lent,2,,3
2024.03.28,lent,2,,4
2024.03.29,lent,2,,5
2024.03.30,lent,2,,6
2024.03.31,lent,2,,7
2024.04.01,lent,3,,1
2024.04.02,lent,3,,2
2024.04.03,lent,3,,3
2024.04.04,lent,3,,4
2024.04.05,lent,3,,5
2024.04.06,lent,3,,6
2024.04.07,lent,3,,7
2024.04.08,lent,4,,1
2024.04.09,lent,4,,2
2024.04.10,lent,4,,3
2024.04.11,lent,4,,4
2024.04.12,lent,4,,5
2024.04.13,lent,4,,6
2024.04.14,lent,4,,7
2024.04.15,lent,5,,1
2024.04.16,lent,5,,2
2024.04.17,lent,5,,3
2024.04.18,lent,5,,4
2024.04.19,lent,5,,5
